Song_id,Song,Singer/Artists,Album/Movie,User-Rating,chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_std_0,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,mfccs_mean_0,mfccs_mean_1,mfccs_mean_2,mfccs_mean_3,mfccs_mean_4,mfccs_mean_5,mfccs_mean_6,mfccs_mean_7,mfccs_mean_8,mfccs_mean_9,mfccs_mean_10,mfccs_mean_11,mfccs_mean_12,mfccs_std_0,mfccs_std_1,mfccs_std_2,mfccs_std_3,mfccs_std_4,mfccs_std_5,mfccs_std_6,mfccs_std_7,mfccs_std_8,mfccs_std_9,mfccs_std_10,mfccs_std_11,mfccs_std_12,cent_mean,cent_std,cent_skew,contrast_mean_0,contrast_mean_1,contrast_mean_2,contrast_mean_3,contrast_mean_4,contrast_mean_5,contrast_mean_6,contrast_std_0,contrast_std_1,contrast_std_2,contrast_std_3,contrast_std_4,contrast_std_5,contrast_std_6,rolloff_mean,rolloff_std,rolloff_skew,zrate_mean,zrate_std,zrate_skew,tempo,Genre
1,  Baawra,"Gulzar, Nihira Joshi Deshpande, Shankar Mahadevan",Kill Dil,8.9/10,0.244236628,0.19915122,0.177213065,0.221105285,0.257306666,0.209214262,0.193280618,0.201302028,0.240178086,0.268573446,0.237301989,0.237164723,0.189476461,0.174665143,0.186205953,0.158027445,0.195358356,0.163987332,0.181460389,0.183375991,0.164247005,0.205758436,0.158048785,0.195454598,-256.5881062,127.2769242,-14.41775503,17.53792677,-6.513118117,0.117852044,-11.49413743,-0.574623073,-12.24467068,-7.270858417,-6.193297864,-3.908730147,-2.270536192,91.81785724,29.86650787,23.7317384,22.45191981,15.65960894,18.2327553,13.08424354,16.66886131,13.12075152,15.11068236,12.43982645,14.28376659,15.07779398,2699.939508,1379.366364,3.451364042,20.956544,15.74632247,23.14002446,25.52345046,23.09853596,23.99242485,42.56465538,7.504816172,5.29203653,5.880197651,6.497278321,5.75669558,5.978425762,4.641405167,5565.798576,2812.496794,1.359046703,0.053264245,0.084470113,6.404504576,84.72079918,BollywoodSad
2,  Bewajah,Himesh Reshammiya,Sanam Teri Kasam,9.3/10,0.248852543,0.231970428,0.182804755,0.240955029,0.313201763,0.242908087,0.141773935,0.187995672,0.270070212,0.243383,0.230901986,0.24222515,0.147283315,0.199800731,0.143547429,0.1706022,0.227250796,0.164756641,0.139732038,0.129185635,0.159518035,0.179546332,0.148174316,0.1604863,-188.2067506,173.8433611,-29.84153943,27.74583912,8.948660266,0.06445466,8.827755294,-5.366760895,6.136812866,-2.882187411,-2.026556781,6.413137916,2.235043481,86.10431334,36.15575645,31.30631286,26.34396719,20.49020899,12.50286485,14.48522537,10.99952665,13.17555455,12.12481413,11.43041706,12.20032357,10.32416914,1820.258533,1037.182782,4.70465114,18.69606362,16.2512021,20.26032081,23.40851681,25.16137483,28.31413192,40.37742473,6.220849505,5.403452811,5.625319246,6.071459626,7.079112645,8.35234433,11.73615327,3711.591967,2103.816649,3.289461748,0.040098323,0.034660672,6.76610118,144.2307692,BollywoodSad
3,  Jogiya,"Anuradha Paudwal, Sukhwinder Singh",Deewane,8.4/10,0.21705545,0.21613832,0.198672465,0.188382076,0.204732971,0.291889976,0.384990302,0.361091649,0.260392444,0.206526099,0.226212603,0.227943631,0.121423206,0.144447901,0.119800748,0.142295999,0.137777051,0.120853505,0.150524316,0.113583182,0.122348015,0.127004131,0.128997762,0.157509951,-175.7741869,133.5048347,-43.12435947,30.91624417,0.25041844,15.35632495,2.294443888,11.5335457,2.828244614,1.526499561,1.365417071,5.008210928,0.19120588,63.02142609,24.32757258,27.55356915,18.27567296,15.95838517,13.16745174,12.16578228,11.86849303,10.19287153,11.51899597,11.29389928,10.86284039,11.37544208,3017.505816,1096.912834,1.014379958,18.11650425,15.55165405,22.74496579,23.92184631,22.88861294,23.57794255,45.67140069,5.79659963,4.87938863,6.046100414,5.908841678,5.18972373,5.774427045,6.800430892,5827.541019,2314.293373,0.64938168,0.059330479,0.027751679,1.719417197,156.6051136,BollywoodSad
4, Aa Aa E Ooh Ooh Ooh Mera Dil Na Todo,Abhijeet,Raja Babu,8.9/10,0.251090564,0.163003174,0.158830343,0.217718952,0.268462077,0.214939243,0.209736133,0.248122764,0.320864577,0.369744302,0.331782515,0.311150303,0.103790903,0.091290571,0.115221151,0.10285747,0.116630102,0.095158535,0.10953817,0.124932797,0.097044878,0.137225163,0.111792885,0.135803991,-245.54364,167.7978567,-56.03243437,31.97120005,15.96119234,0.124130819,13.49469017,-2.134661775,10.36034861,6.357929282,3.267568433,8.18258581,-1.604450942,52.81840604,27.45362815,20.72727177,13.2357598,10.08224025,8.128072549,9.654308261,8.957127229,8.212001982,10.42611951,10.30542554,9.805015197,8.908494662,2083.558204,567.3979158,0.836021808,19.36864642,14.09742123,18.87071722,21.71420473,20.800526,20.13694057,41.377583,6.009302219,4.498058964,5.216914525,5.44636291,5.059525686,3.739743013,4.749339161,3986.885962,1026.859809,0.626479835,0.052616432,0.025562063,2.41475068,120.1853198,BollywoodDance
5, Aa Jao Na,"Arijit Singh, Shashwat Sachdev",Veere Di Wedding,9.4/10,0.250936892,0.263249421,0.275055858,0.276954666,0.263051313,0.216738439,0.206940614,0.238444633,0.249172765,0.239970516,0.182429223,0.189623114,0.192086756,0.167568273,0.192849035,0.148631673,0.159240424,0.144920859,0.136118291,0.170984123,0.140260458,0.17254451,0.137306226,0.154690773,-252.7380249,160.1588334,21.16655727,17.82588515,1.388623126,21.44824578,-3.062923907,3.656983549,-0.200015499,1.886021795,-5.697955449,7.774786925,8.022832217,61.01107311,26.81666021,24.83535547,16.94924788,16.84759024,14.95070071,13.99018089,12.7060595,11.89383934,11.8750261,11.10582676,12.84766082,13.91211786,1805.873633,1025.798584,1.543408561,22.64394628,15.24295371,20.14712343,21.50494416,21.65220493,23.92740596,40.59545439,8.451481639,4.859685697,5.234068706,4.951849908,4.531397961,6.07293953,7.057123546,3763.400903,2716.767,0.964513636,0.022075094,0.012688151,2.481777192,139.6748311,BollywoodSad
6, Aa Zara,Sunidhi Chauhan,Murder 2,9.5/10,0.165589826,0.154444222,0.124296969,0.147906149,0.225302635,0.298065257,0.254635662,0.204808656,0.213477557,0.336790383,0.363258179,0.255372591,0.135391649,0.144879105,0.131957637,0.139309254,0.153396508,0.170674143,0.171776546,0.162524092,0.16759906,0.154753869,0.211298877,0.151766336,-148.5027299,140.9395953,-14.22031718,47.05090096,-4.197549172,21.02231166,-12.42878356,14.78942598,-2.759730205,7.920172674,2.794768097,5.816341273,-4.503193719,68.54128858,23.50665087,19.54875624,14.83434635,14.70264722,12.62873792,15.81140028,11.10713835,11.44090722,10.05135201,9.895758052,10.96501213,9.389876359,2799.39851,1010.726954,0.658645801,20.31751101,14.32867807,20.56858828,24.03568453,24.02666348,24.64962298,47.26372558,6.194667589,4.205770727,4.884332091,5.468464293,5.013048135,5.466249575,6.809654364,6246.07384,2445.30786,0.086805713,0.045297722,0.024084331,1.75530919,126.0480183,BollywoodRomantic
7, Aaankhein Milayenge Darr Se,"K. Mohan, Neha Bhasin",Neerja,9.6/10,0.258001674,0.287424187,0.278698511,0.268157868,0.25638936,0.25439287,0.279775525,0.315583979,0.28326534,0.221204462,0.192106939,0.162632563,0.13191895,0.115081941,0.116484377,0.147015972,0.142429465,0.136807514,0.115328282,0.157934862,0.11575443,0.112756628,0.116094481,0.108214088,-186.6658048,156.0149756,-29.97584501,26.05842492,4.290352211,14.61629786,-0.02253259,10.66171568,9.810522422,8.740898389,7.241613531,7.574591573,7.768840996,85.35561775,28.09763037,27.03137029,14.59723702,17.85504054,10.10267212,14.3288556,9.846365702,9.974979966,8.282023354,9.828472782,11.24927982,9.668477846,2134.959796,879.1007319,1.513690688,15.77723932,11.35775815,17.27382519,19.2678321,17.8883129,20.20798277,42.33895413,5.163492924,3.825964267,5.274211418,5.517558435,4.147907104,3.977080518,7.334372238,4252.209968,1903.295424,1.158101625,0.038006243,0.02273186,3.153366569,82.03125,BollywoodDance
8, Aadat (Juda Hoke Bhi),Atif Aslam,Kalyug,9.3/10,0.239039964,0.214215444,0.23521995,0.246626981,0.208454772,0.200166854,0.26227721,0.349996103,0.313607126,0.228688775,0.187918445,0.233692055,0.180524804,0.135060661,0.133180555,0.137186977,0.107624456,0.153886496,0.131257743,0.156262354,0.159789575,0.147203955,0.175561852,0.143119647,-176.8199259,138.3578836,-24.99230364,46.70012187,-5.266693364,21.81402608,-6.903450198,12.34962171,0.320895671,-9.638164137,6.017413477,-0.338573918,6.16399366,77.9707086,28.99944979,29.20575667,22.92224919,16.67541617,17.35314558,12.14905798,14.36689294,11.52777814,11.91642452,11.21837933,11.03103492,13.16941441,2694.119451,1115.578496,0.751815679,20.96210477,12.40313889,22.23703039,24.06539279,23.17912418,25.76701055,46.12699718,7.394788387,4.473219869,5.72808666,5.863269511,5.7046227,7.307846794,7.981148125,5703.602142,2496.303489,0.375060963,0.054911274,0.030984666,1.332482718,103.359375,BollywoodSad
9, Aaj Din Chadheya,"Harshdeep Kaur, Irshad Kamil",Love Aj Kal,9.6/10,0.195035178,0.223824665,0.18061324,0.195309787,0.267410375,0.212708014,0.185136268,0.183245817,0.336300358,0.408386786,0.301592405,0.205084032,0.128911569,0.159685453,0.157409755,0.119286321,0.141951373,0.114236819,0.154908903,0.122920026,0.135596395,0.157974071,0.120198627,0.148370227,-189.5934674,163.4682705,-10.52445236,25.70085835,7.774627244,10.82066798,-8.493139177,15.36555412,-3.609583755,-3.339112018,2.561898209,10.81152612,-2.216452618,70.46615986,34.78319498,19.76708892,15.38012222,13.32658138,11.85898343,11.61805912,11.79380335,10.20179609,10.59771248,9.866717881,12.15740366,9.719462151,2159.320617,873.5979898,1.212768757,19.84522695,14.17080222,20.60543944,24.33977911,24.08358143,26.06767007,43.51164756,6.045277592,4.454740692,5.111966761,5.519250648,5.221300826,5.897910848,6.739507399,4394.272674,2257.764722,1.157377153,0.038958491,0.020474338,1.088198118,86.1328125,BollywoodRomantic
10,Raabta Tujhse Raha,Aaman Trikha,Yeh Hai Judgement Hanged Till Death,9.1/10,0.172157592,0.18293215,0.240659132,0.265885009,0.298650304,0.302181275,0.199572886,0.146847235,0.169225484,0.274134725,0.320581248,0.256802421,0.184389478,0.146276294,0.170575084,0.174092841,0.155295952,0.177293634,0.120029679,0.138101645,0.12229332,0.151442709,0.168129957,0.128915888,-257.4822344,166.1176266,-10.53989907,23.83926041,7.227309303,-0.691776054,1.396959204,4.675331238,-9.424227355,-15.67310831,-3.222399047,-1.648050035,-5.729760648,69.48801068,34.31829769,25.12012057,15.22474096,18.17177585,14.22217718,10.58252351,14.24566709,11.66541009,12.39218522,11.01958294,11.86224856,12.68890972,1874.681011,993.9694584,3.7541983,21.63292684,13.06978282,22.23541732,24.09528677,26.19603952,26.78447029,40.8962593,6.11010348,4.705013104,5.881862543,6.235853876,6.072962764,6.177550521,5.529909129,3614.431704,2124.197185,2.938823153,0.031705311,0.018036737,5.854916806,93.75,BollywoodRomantic
